Order ID,UID,Order Time
1,2150000,2023-03-15 08:14:17
2,2150001,2023-03-15 08:15:17
3,2150002,2023-03-15 08:16:17
4,2150003,2023-03-15 08:17:17
5,2150000,2023-03-15 08:18:17
6,2150001,2023-03-15 08:19:17
7,2150002,2023-03-15 08:20:17
8,2150003,2023-03-15 08:21:17
9,2150000,2023-03-15 08:22:17
10,2150001,2023-03-15 08:23:17
11,2150002,2023-03-15 08:24:17
12,2150003,2023-03-15 08:25:17
13,2150000,2023-03-15 08:26:17
14,2150001,2023-03-15 08:27:17
15,2150002,2023-03-15 08:28:17
16,2150003,2023-03-15 08:29:17
17,2150000,2023-03-15 08:30:17
18,2150001,2023-03-15 08:31:17
19,2150002,2023-03-15 08:32:17
20,2150003,2023-03-15 08:33:17
21,2150000,2023-03-15 08:34:17
22,2150001,2023-03-15 08:35:17
23,2150002,2023-03-15 08:36:17
24,2150003,2023-03-15 08:37:17
25,2150000,2023-03-15 08:38:17
26,2150001,2023-03-15 08:39:17
27,2150002,2023-03-15 08:40:17
28,2150003,2023-03-15 08:41:17
29,2150000,2023-03-15 08:42:17
30,2150001,2023-03-15 08:43:17
31,2150002,2023-03-15 08:44:17
32,2150003,2023-03-15 08:45:17
33,2150000,2023-03-15 08:46:17
34,2150001,2023-03-15 08:47:17
35,2150002,2023-03-15 08:48:17
36,2150003,2023-03-15 08:49:17
37,2150000,2023-03-15 08:50:17
38,2150001,2023-03-15 08:51:17
39,2150002,2023-03-15 08:52:17
40,2150003,2023-03-15 08:53:17
41,2150000,2023-03-15 08:54:17
42,2150001,2023-03-15 08:55:17
43,2150002,2023-03-15 08:56:17
44,2150003,2023-03-15 08:57:17
45,2150000,2023-03-15 08:58:17
46,2150001,2023-03-15 08:59:17
47,2150002,2023-03-15 09:00:17
48,2150003,2023-03-15 09:01:17
49,2150000,2023-03-15 09:02:17
50,2150001,2023-03-15 09:03:17
51,2150002,2023-03-15 09:04:17
52,2150003,2023-03-15 09:05:17
53,2150000,2023-03-15 09:06:17
54,2150001,2023-03-15 09:07:17
55,2150002,2023-03-15 09:08:17
56,2150003,2023-03-15 09:09:17
57,2150000,2023-03-15 09:10:17
58,2150001,2023-03-15 09:11:17
59,2150002,2023-03-15 09:12:17
60,2150003,2023-03-15 09:13:17
61,2150000,2023-03-15 09:14:17
62,2150001,2023-03-15 09:15:17
63,2150002,2023-03-15 09:16:17
64,2150003,2023-03-15 09:17:17
65,2150000,2023-03-15 09:18:17
66,2150001,2023-03-15 09:19:17
67,2150002,2023-03-15 09:20:17
68,2150003,2023-03-15 09:21:17
69,2150000,2023-03-15 09:22:17
70,2150001,2023-03-15 09:23:17
71,2150002,2023-03-15 09:24:17
72,2150003,2023-03-15 09:25:17
73,2150000,2023-03-15 09:26:17
74,2150001,2023-03-15 09:27:17
75,2150002,2023-03-15 09:28:17
76,2150003,2023-03-15 09:29:17
77,2150000,2023-03-15 09:30:17
78,2150001,2023-03-15 09:31:17
79,2150002,2023-03-15 09:32:17
80,2150003,2023-03-15 09:33:17
81,2150000,2023-03-15 09:34:17
82,2150001,2023-03-15 09:35:17
83,2150002,2023-03-15 09:36:17
84,2150003,2023-03-15 09:37:17
85,2150000,2023-03-15 09:38:17
86,2150001,2023-03-15 09:39:17
87,2150002,2023-03-15 09:40:17
88,2150003,2023-03-15 09:41:17
89,2150000,2023-03-15 09:42:17
90,2150001,2023-03-15 09:43:17
91,2150002,2023-03-15 09:44:17
92,2150003,2023-03-15 09:45:17
93,2150000,2023-03-15 09:46:17
94,2150001,2023-03-15 09:47:17
95,2150002,2023-03-15 09:48:17
96,2150003,2023-03-15 09:49:17
97,2150000,2023-03-15 09:50:17
98,2150001,2023-03-15 09:51:17
99,2150002,2023-03-15 09:52:17
100,2150003,2023-03-15 09:53:17
101,2150000,2023-03-15 09:54:17
102,2150001,2023-03-15 09:55:17
103,2150002,2023-03-15 09:56:17
104,2150003,2023-03-15 09:57:17
105,2150000,2023-03-15 09:58:17
106,2150001,2023-03-15 09:59:17
107,2150002,2023-03-15 10:00:17
108,2150003,2023-03-15 10:01:17
109,2150000,2023-03-15 10:02:17
110,2150001,2023-03-15 10:03:17
111,2150002,2023-03-15 10:04:17
112,2150003,2023-03-15 10:05:17
113,2150000,2023-03-15 10:06:17
114,2150001,2023-03-15 10:07:17
115,2150002,2023-03-15 10:08:17
116,2150003,2023-03-15 10:09:17
117,2150000,2023-03-15 10:10:17
118,2150001,2023-03-15 10:11:17
119,2150002,2023-03-15 10:12:17
120,2150003,2023-03-15 10:13:17
121,2150000,2023-03-15 10:14:17
122,2150001,2023-03-15 10:15:17
123,2150002,2023-03-15 10:16:17
124,2150003,2023-03-15 10:17:17
125,2150000,2023-03-15 10:18:17
126,2150001,2023-03-15 10:19:17
127,2150002,2023-03-15 10:20:17
128,2150003,2023-03-15 10:21:17
129,2150000,2023-03-15 10:22:17
130,2150001,2023-03-15 10:23:17
131,2150002,2023-03-15 10:24:17
132,2150003,2023-03-15 10:25:17
133,2150000,2023-03-15 10:26:17
134,2150001,2023-03-15 10:27:17
135,2150002,2023-03-15 10:28:17
136,2150003,2023-03-15 10:29:17
137,2150000,2023-03-15 10:30:17
138,2150001,2023-03-15 10:31:17
139,2150002,2023-03-15 10:32:17
140,2150003,2023-03-15 10:33:17
141,2150000,2023-03-15 10:34:17
142,2150001,2023-03-15 10:35:17
143,2150002,2023-03-15 10:36:17
144,2150003,2023-03-15 10:37:17
145,2150000,2023-03-15 10:38:17
146,2150001,2023-03-15 10:39:17
147,2150002,2023-03-15 10:40:17
148,2150003,2023-03-15 10:41:17
149,2150000,2023-03-15 10:42:17
150,2150001,2023-03-15 10:43:17
151,2150002,2023-03-15 10:44:17
152,2150003,2023-03-15 10:45:17
153,2150000,2023-03-15 10:46:17
154,2150001,2023-03-15 10:47:17
155,2150002,2023-03-15 10:48:17
156,2150003,2023-03-15 10:49:17
157,2150000,2023-03-15 10:50:17
158,2150001,2023-03-15 10:51:17
159,2150002,2023-03-15 10:52:17
160,2150003,2023-03-15 10:53:17
161,2150000,2023-03-15 10:54:17
162,2150001,2023-03-15 10:55:17
163,2150002,2023-03-15 10:56:17
164,2150003,2023-03-15 10:57:17
165,2150000,2023-03-15 10:58:17
166,2150001,2023-03-15 10:59:17
167,2150002,2023-03-15 11:00:17
168,2150003,2023-03-15 11:01:17
169,2150000,2023-03-15 11:02:17
170,2150001,2023-03-15 11:03:17
171,2150002,2023-03-15 11:04:17
172,2150003,2023-03-15 11:05:17
173,2150000,2023-03-15 11:06:17
174,2150001,2023-03-15 11:07:17
175,2150002,2023-03-15 11:08:17
176,2150003,2023-03-15 11:09:17
177,2150000,2023-03-15 11:10:17
178,2150001,2023-03-15 11:11:17
179,2150002,2023-03-15 11:12:17
180,2150003,2023-03-15 11:13:17
181,2150000,2023-03-15 11:14:17
182,2150001,2023-03-15 11:15:17
183,2150002,2023-03-15 11:16:17
184,2150003,2023-03-15 11:17:17
185,2150000,2023-03-15 11:18:17
186,2150001,2023-03-15 11:19:17
187,2150002,2023-03-15 11:20:17
188,2150003,2023-03-15 11:21:17
189,2150000,2023-03-15 11:22:17
190,2150001,2023-03-15 11:23:17
191,2150002,2023-03-15 11:24:17
192,2150003,2023-03-15 11:25:17
193,2150000,2023-03-15 11:26:17
194,2150001,2023-03-15 11:27:17
195,2150002,2023-03-15 11:28:17
196,2150003,2023-03-15 11:29:17
197,2150000,2023-03-15 11:30:17
198,2150001,2023-03-15 11:31:17
199,2150002,2023-03-15 11:32:17
200,2150003,2023-03-15 11:33:17
201,2150000,2023-03-15 11:34:17
202,2150001,2023-03-15 11:35:17
203,2150002,2023-03-15 11:36:17
204,2150003,2023-03-15 11:37:17
205,2150000,2023-03-15 11:38:17
206,2150001,2023-03-15 11:39:17
207,2150002,2023-03-15 11:40:17
208,2150003,2023-03-15 11:41:17
209,2150000,2023-03-15 11:42:17
210,2150001,2023-03-15 11:43:17
211,2150002,2023-03-15 11:44:17
212,2150003,2023-03-15 11:45:17
213,2150000,2023-03-15 11:46:17
214,2150001,2023-03-15 11:47:17
215,2150002,2023-03-15 11:48:17
216,2150003,2023-03-15 11:49:17
217,2150000,2023-03-15 11:50:17
218,2150001,2023-03-15 11:51:17
219,2150002,2023-03-15 11:52:17
220,2150003,2023-03-15 11:53:17
221,2150000,2023-03-15 11:54:17
222,2150001,2023-03-15 11:55:17
223,2150002,2023-03-15 11:56:17
224,2150003,2023-03-15 11:57:17
225,2150000,2023-03-15 11:58:17
226,2150001,2023-03-15 11:59:17
227,2150002,2023-03-15 12:00:17
228,2150003,2023-03-15 12:01:17
229,2150000,2023-03-15 12:02:17
230,2150001,2023-03-15 12:03:17
231,2150002,2023-03-15 12:04:17
232,2150003,2023-03-15 12:05:17
233,2150000,2023-03-15 12:06:17
234,2150001,2023-03-15 12:07:17
235,2150002,2023-03-15 12:08:17
236,2150003,2023-03-15 12:09:17
237,2150000,2023-03-15 12:10:17
238,2150001,2023-03-15 12:11:17
239,2150002,2023-03-15 12:12:17
240,2150003,2023-03-15 12:13:17
241,2150000,2023-03-15 12:14:17
242,2150001,2023-03-15 12:15:17
243,2150002,2023-03-15 12:16:17
244,2150003,2023-03-15 12:17:17
245,2150000,2023-03-15 12:18:17
246,2150001,2023-03-15 12:19:17
247,2150002,2023-03-15 12:20:17
248,2150003,2023-03-15 12:21:17
249,2150000,2023-03-15 12:22:17
250,2150001,2023-03-15 12:23:17
251,2150002,2023-03-15 12:24:17
252,2150003,2023-03-15 12:25:17
253,2150000,2023-03-15 12:26:17
254,2150001,2023-03-15 12:27:17
255,2150002,2023-03-15 12:28:17
256,2150003,2023-03-15 12:29:17
257,2150000,2023-03-15 12:30:17
258,2150001,2023-03-15 12:31:17
259,2150002,2023-03-15 12:32:17
260,2150003,2023-03-15 12:33:17
261,2150000,2023-03-15 12:34:17
262,2150001,2023-03-15 12:35:17
263,2150002,2023-03-15 12:36:17
264,2150003,2023-03-15 12:37:17
265,2150000,2023-03-15 12:38:17
266,2150001,2023-03-15 12:39:17
267,2150002,2023-03-15 12:40:17
268,2150003,2023-03-15 12:41:17
269,2150000,2023-03-15 12:42:17
270,2150001,2023-03-15 12:43:17
271,2150002,2023-03-15 12:44:17
272,2150003,2023-03-15 12:45:17
273,2150000,2023-03-15 12:46:17
274,2150001,2023-03-15 12:47:17
275,2150002,2023-03-15 12:48:17
276,2150003,2023-03-15 12:49:17
277,2150000,2023-03-15 12:50:17
278,2150001,2023-03-15 12:51:17
279,2150002,2023-03-15 12:52:17
280,2150003,2023-03-15 12:53:17
281,2150000,2023-03-15 12:54:17
282,2150001,2023-03-15 12:55:17
283,2150002,2023-03-15 12:56:17
284,2150003,2023-03-15 12:57:17
285,2150000,2023-03-15 12:58:17
286,2150001,2023-03-15 12:59:17
287,2150002,2023-03-15 13:00:17
288,2150003,2023-03-15 13:01:17
289,2150000,2023-03-15 13:02:17
290,2150001,2023-03-15 13:03:17
291,2150002,2023-03-15 13:04:17
292,2150003,2023-03-15 13:05:17
293,2150000,2023-03-15 13:06:17
294,2150001,2023-03-15 13:07:17
295,2150002,2023-03-15 13:08:17
296,2150003,2023-03-15 13:09:17
297,2150000,2023-03-15 13:10:17
298,2150001,2023-03-15 13:11:17
299,2150002,2023-03-15 13:12:17
300,2150003,2023-03-15 13:13:17
301,2150000,2023-03-15 13:14:17
302,2150001,2023-03-15 13:15:17
303,2150002,2023-03-15 13:16:17
304,2150003,2023-03-15 13:17:17
305,2150000,2023-03-15 13:18:17
306,2150001,2023-03-15 13:19:17
307,2150002,2023-03-15 13:20:17
308,2150003,2023-03-15 13:21:17
309,2150000,2023-03-15 13:22:17
310,2150001,2023-03-15 13:23:17
311,2150002,2023-03-15 13:24:17
312,2150003,2023-03-15 13:25:17
313,2150000,2023-03-15 13:26:17
314,2150001,2023-03-15 13:27:17
315,2150002,2023-03-15 13:28:17
316,2150003,2023-03-15 13:29:17
317,2150000,2023-03-15 13:30:17
318,2150001,2023-03-15 13:31:17
319,2150002,2023-03-15 13:32:17
320,2150003,2023-03-15 13:33:17
321,2150000,2023-03-15 13:34:17
322,2150001,2023-03-15 13:35:17
323,2150002,2023-03-15 13:36:17
324,2150003,2023-03-15 13:37:17
325,2150000,2023-03-15 13:38:17
326,2150001,2023-03-15 13:39:17
327,2150002,2023-03-15 13:40:17
328,2150003,2023-03-15 13:41:17
329,2150000,2023-03-15 13:42:17
330,2150001,2023-03-15 13:43:17
331,2150002,2023-03-15 13:44:17
332,2150003,2023-03-15 13:45:17
